time_s,rep_event,assembly_event,rep_unpacked_products,rep_packaged_products,converted_packaged_products,unpacked_genome_after,packaged_genome_after,TX_L1_4,TL_L1_4,TX_L1_1,TL_L1_1,TX_L1_2,TL_L1_2,TX_L1_3,TL_L1_3,tx_total,tl_total
1064,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1077,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
1082,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
1091,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
1101,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1113,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0
1121,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
1131,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1174,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
1188,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
1191,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
1280,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1296,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
1301,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1332,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1344,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
1353,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1376,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0
1380,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0
1398,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
1399,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0
1411,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
1413,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1433,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
1450,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1454,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1471,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
1475,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
1478,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1528,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1544,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1551,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0
1555,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0
1557,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1564,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
1565,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
1566,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
1587,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
1589,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1600,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0
1602,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
1608,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1609,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
1611,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1629,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0
1631,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1636,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,2
1646,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1649,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
1682,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
1699,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
1717,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1726,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
1729,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0
1747,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
1749,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1758,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
1766,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0
1768,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1772,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1774,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
1775,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
1782,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1784,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,2
1798,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
1802,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1807,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
1808,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1813,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1816,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,1,1
1818,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1822,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0
1823,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
1832,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
1835,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
1845,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,1,1
1861,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
1862,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0
1870,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0
1874,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
1876,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1877,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
1887,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1907,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1911,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0
1925,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1
1937,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1
1943,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0
1946,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1
1947,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1
1959,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1
1963,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1
1965,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1
1966,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1
1969,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1
1980,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1
1981,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0
1990,1,0,1,0,0,5,0,1,0,0,0,0,0,0,0,1,0
1998,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1
2002,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1
2014,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,2
2018,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1
2027,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0
2033,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1
2034,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1
2038,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0
2041,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0
2046,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1
2054,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0
2071,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1
2072,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1
2076,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1
2079,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1
2090,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1
2091,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1
2093,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1
2101,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1
2114,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1
2116,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1
2117,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0
2121,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,2
2124,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1
2128,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1
2129,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1
2137,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0
2139,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1
2140,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1
2148,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1
2160,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0
2163,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1
2172,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1
2180,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1
2182,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2185,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0
2208,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0
2209,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1
2213,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2219,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0
2228,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2229,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1
2233,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2244,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0
2245,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0
2250,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0
2257,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1
2264,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,1,1
2275,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2279,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0
2293,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1
2297,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1
2300,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1
2316,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1
2323,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1
2349,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2350,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1
2352,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1
2367,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1
2372,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0
2375,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1
2386,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0
2391,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1
2393,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2403,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0
2411,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,0,2
2413,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0
2419,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2426,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1
2452,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1
2453,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0
2458,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1
2463,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,2
2468,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0
