time_s,source_key,value
275,TL_MpP1p05,1
275,TL_MpP1p09,1
276,TL_MpP1p11,1
277,TL_MpP1p08,1
278,TL_MpP1p02,2
278,TL_MpP1p05,1
278,TL_MpP1p11,1
279,TL_MpP1p02,1
279,TL_MpP1p08,1
280,TL_MpP1p02,2
280,TL_MpP1p04,2
280,TL_MpP1p10,1
281,TL_MpP1p04,1
281,TL_MpP1p06,1
282,TL_MpP1p09,1
283,TL_MpP1p05,1
283,TL_MpP1p11,1
284,TL_MpP1p04,1
284,TL_MpP1p09,1
284,TL_MpP1p11,1
285,TL_MpP1p07,1
285,TL_MpP1p11,1
286,TL_MpP1p11,1
287,TL_MpP1p02,1
287,TX_MpP1p06,1
288,TL_MpP1p08,1
289,TL_MpP1p03,1
289,TX_MpP1p11,1
290,TL_MpP1p02,1
290,TL_MpP1p04,2
291,TL_MpP1p04,1
291,TX_MpP1p05,1
291,TL_MpP1p08,1
291,TL_MpP1p11,1
292,TL_MpP1p04,1
292,TL_MpP1p06,1
292,TL_MpP1p11,1
294,TX_MpP1p05,1
294,TL_MpP1p05,1
294,TL_MpP1p08,1
295,TL_MpP1p07,1
296,TX_MpP1p04,1
296,TL_MpP1p04,1
296,TL_MpP1p05,1
296,TL_MpP1p06,1
297,TL_MpP1p03,1
297,TL_MpP1p07,1
297,TL_MpP1p11,1
298,TL_MpP1p10,1
299,TX_MpP1p01,1
299,TL_MpP1p05,1
299,TL_MpP1p08,2
299,TL_MpP1p11,1
301,TL_MpP1p02,1
301,TL_MpP1p04,1
301,TL_MpP1p05,2
302,TL_MpP1p05,1
302,TL_MpP1p06,1
303,TL_MpP1p02,1
303,TL_MpP1p03,1
303,TL_MpP1p04,1
303,TL_MpP1p05,1
304,TL_MpP1p04,1
304,TL_MpP1p09,1
304,TL_MpP1p11,1
305,TL_MpP1p01,1
305,TL_MpP1p05,1
305,TX_MpP1p08,1
305,TL_MpP1p10,1
305,TL_MpP1p11,2
306,TL_MpP1p05,1
306,TL_MpP1p07,1
306,TL_MpP1p09,1
306,TL_MpP1p11,1
307,TL_MpP1p01,1
307,TL_MpP1p04,2
307,TL_MpP1p09,1
307,TL_MpP1p10,1
307,TL_MpP1p11,1
308,TL_MpP1p04,1
308,TL_MpP1p08,1
309,TL_MpP1p06,1
309,TL_MpP1p08,1
309,TL_MpP1p11,3
310,TL_MpP1p03,1
310,TL_MpP1p08,1
310,TL_MpP1p11,2
311,TL_MpP1p03,1
311,TL_MpP1p04,1
311,TL_MpP1p05,1
311,TL_MpP1p06,1
311,TL_MpP1p11,1
312,TL_MpP1p05,1
312,TL_MpP1p11,1
313,TL_MpP1p04,1
314,TL_MpP1p04,3
314,TL_MpP1p05,1
314,TL_MpP1p06,1
314,TL_MpP1p08,1
314,TX_MpP1p09,1
316,TL_MpP1p07,1
316,TL_MpP1p11,1
317,TL_MpP1p05,1
317,TL_MpP1p07,1
317,TL_MpP1p11,1
318,TL_MpP1p04,2
320,TL_MpP1p03,1
320,TL_MpP1p04,2
320,TL_MpP1p08,1
321,TL_MpP1p02,1
321,TL_MpP1p04,1
321,TL_MpP1p11,1
322,TL_MpP1p04,1
322,TL_MpP1p07,1
322,TL_MpP1p09,1
323,TL_MpP1p02,1
323,TL_MpP1p11,1
324,TL_MpP1p02,1
324,TL_MpP1p05,1
325,TL_MpP1p05,1
326,TL_MpP1p06,1
326,TL_MpP1p11,1
327,TL_MpP1p04,1
327,TL_MpP1p09,1
328,TL_MpP1p03,1
328,TX_MpP1p04,1
328,TX_MpP1p06,1
329,TL_MpP1p05,1
329,TL_MpP1p07,1
330,TL_MpP1p04,1
330,TL_MpP1p05,1
330,TL_MpP1p06,1
331,TL_MpP1p02,1
331,TL_MpP1p08,2
331,TL_MpP1p09,1
332,TL_MpP1p01,1
332,TL_MpP1p11,2
333,TL_MpP1p03,1
333,TL_MpP1p05,2
333,TL_MpP1p06,2
333,TL_MpP1p11,1
334,TL_MpP1p02,1
334,TL_MpP1p03,2
334,TL_MpP1p04,1
334,TL_MpP1p07,1
334,TL_MpP1p08,1
334,TL_MpP1p11,1
335,TL_MpP1p04,1
335,TX_MpP1p07,1
335,TL_MpP1p11,1
336,TL_MpP1p08,1
337,TL_MpP1p10,2
338,TL_MpP1p04,3
338,TL_MpP1p06,1
338,TL_MpP1p07,1
339,TL_MpP1p07,1
340,TL_MpP1p05,1
341,TL_MpP1p03,1
341,TL_MpP1p04,2
341,TL_MpP1p05,1
341,TL_MpP1p11,1
342,TL_MpP1p02,1
