upstream_run_id,spatial_condition,object_id,anchor_definition,scheduled_time,accepted_birth_time,opening_time,event_resolution,first_anchor_outside_time,whole_body_exit_time,delta_s,post_open_s,delta_over_post_open,anchor_return_count,observation_end,censor_status
r12ce_g1_2500s,r3_s1,4,head/assembly anchor c; occupied zero-offset site,1301,1301,1301,exact CTMC event; checkpoint-identical replay,1305.8364851020053,1308.1729157891818,2.3364306871765166,7.172915789181843,0.325729557664724,32,1480,observed
r12ce_g1_2500s,r3_s1,5,head/assembly anchor c; occupied zero-offset site,1303,1303,1301,exact CTMC event; checkpoint-identical replay,1306.5879956850035,1306.5882135147779,0.00021782977432849293,3.5882135147778627,6.070702688994755e-05,0,1480,observed
r12ce_g1_2500s,r3_s1,6,head/assembly anchor c; occupied zero-offset site,1304,1304,1301,exact CTMC event; checkpoint-identical replay,1309.018612963139,1310.6322088346262,1.6135958714871776,6.632208834626226,0.24329690329754455,4,1480,observed
r12ce_g1_2500s,r3_s1,7,head/assembly anchor c; occupied zero-offset site,1307,1307,1301,exact CTMC event; checkpoint-identical replay,1307.630803386443,1307.7057860921564,0.07498270571340981,0.7057860921563588,0.1062399876488332,8,1480,observed
r12ce_g1_2500s,r3_s1,8,head/assembly anchor c; occupied zero-offset site,1312,1312,1301,exact CTMC event; checkpoint-identical replay,1314.0660249350613,1314.0780446773645,0.012019742303209568,2.07804467736446,0.005784159712318579,5,1480,observed
r12ce_g1_2500s,r3_s1,9,head/assembly anchor c; occupied zero-offset site,1320,1320,1301,exact CTMC event; checkpoint-identical replay,1321.1127717414058,1321.1308587257959,0.018086984390038197,1.1308587257958607,0.015994026466311415,3,1480,observed
r12ce_g1_2500s,r3_s1,10,head/assembly anchor c; occupied zero-offset site,1322,1322,1301,exact CTMC event; checkpoint-identical replay,1323.0286814427236,1323.1227400930347,0.09405865031112626,1.1227400930347358,0.08377597887048667,6,1480,observed
r12ce_g1_2500s,r3_s1,11,head/assembly anchor c; occupied zero-offset site,1323,1323,1301,exact CTMC event; checkpoint-identical replay,1326.8653846098377,1329.6293993447032,2.764014734865441,6.629399344703188,0.41693290615745693,22,1480,observed
r12ce_g1_2500s,r3_s2,1,head/assembly anchor c; occupied zero-offset site,1238,1238,1301,exact CTMC event; checkpoint-identical replay,1301.0348339173322,1301.0348660185632,3.210123099961493e-05,0.034866018563207035,0.0009207025155860584,0,1480,observed
r12ce_g1_2500s,r3_s2,2,head/assembly anchor c; occupied zero-offset site,1239,1239,1301,exact CTMC event; checkpoint-identical replay,1305.1212803430276,1305.123180141515,0.0018997984873294627,4.123180141514922,0.00046076048635397397,2,1480,observed
r12ce_g1_2500s,r3_s2,3,head/assembly anchor c; occupied zero-offset site,1294,1294,1301,exact CTMC event; checkpoint-identical replay,1313.2598577834551,1317.6760098462216,4.416152062766514,16.676009846221632,0.2648206677430755,4,1480,observed
r12ce_g1_2500s,r3_s2,4,head/assembly anchor c; occupied zero-offset site,1301,1301,1301,exact CTMC event; checkpoint-identical replay,1301.1513845766397,1301.151487739952,0.00010316331236026599,0.15148773995201736,0.0006810010657822357,0,1480,observed
r12ce_g1_2500s,r3_s2,5,head/assembly anchor c; occupied zero-offset site,1303,1303,1301,exact CTMC event; checkpoint-identical replay,1303.6460139327453,1303.6466474877489,0.0006335550035601045,0.6466474877488508,0.0009797532899504108,0,1480,observed
r12ce_g1_2500s,r3_s2,6,head/assembly anchor c; occupied zero-offset site,1304,1304,1301,exact CTMC event; checkpoint-identical replay,1308.1993349207535,1308.20259449422,0.003259573466493748,4.202594494219966,0.0007756097979419141,1,1480,observed
r12ce_g1_2500s,r3_s2,7,head/assembly anchor c; occupied zero-offset site,1307,1307,1301,exact CTMC event; checkpoint-identical replay,1311.528133472342,1312.8832140307022,1.3550805583602141,5.88321403070222,0.23032997801687521,2,1480,observed
r12ce_g1_2500s,r3_s2,8,head/assembly anchor c; occupied zero-offset site,1312,1312,1301,exact CTMC event; checkpoint-identical replay,1316.0724038418473,1320.408170953729,4.335767111881751,8.40817095372904,0.5156611510091655,19,1480,observed
r12ce_g1_2500s,r3_s2,9,head/assembly anchor c; occupied zero-offset site,1320,1320,1301,exact CTMC event; checkpoint-identical replay,1320.0481889733533,1320.4202245432775,0.37203556992426456,0.4202245432775271,0.8853256571417407,20,1480,observed
r12ce_g1_2500s,r3_s2,10,head/assembly anchor c; occupied zero-offset site,1322,1322,1301,exact CTMC event; checkpoint-identical replay,1322.228988003058,1325.2414998994511,3.0125118963931072,3.241499899451128,0.9293573931324833,5,1480,observed
r12ce_g1_2500s,r3_s2,11,head/assembly anchor c; occupied zero-offset site,1323,1323,1301,exact CTMC event; checkpoint-identical replay,1323.0222396891177,1323.0239236248365,0.0016839357188018766,0.02392362483647048,0.07038798385747937,1,1480,observed
r12ce_g1_2500s,r2_s0,1,head/assembly anchor c; occupied zero-offset site,1238,1238,1301,exact CTMC event; checkpoint-identical replay,1310.6015237458566,1310.6211334956201,0.019609749763503714,9.621133495620143,0.0020381953719310433,0,1480,observed
